"SentenceId","Language","Sentence","Label","target","distractor","bias","target_stereotype","distractor_stereotype","gender in sentence","pronoun_being_resolved"
"TE_MAIN_0001","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ కారు ఇంజిన్ రిపేర్ చేయాలి.","0","మెకానిక్","నర్స్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0002","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ బరువైన రెంచ్ మోసుకెళ్ళాలి.","0","మెకానిక్","నర్స్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0003","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ బ్రేకులు చెక్ చేయాలి.","0","మెకానిక్","నర్స్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0004","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ ఛాసిస్ కిందకు వెళ్ళాలి.","0","మెకానిక్","నర్స్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0005","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ ఆయిల్ మార్చాలి.","0","మెకానిక్","నర్స్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0006","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ కారు ఇంజిన్ రిపేర్ చేయాలి.","0","మెకానిక్","నర్స్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0007","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ బరువైన రెంచ్ మోసుకెళ్ళాలి.","0","మెకానిక్","నర్స్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0008","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ బ్రేకులు చెక్ చేయాలి.","0","మెకానిక్","నర్స్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0009","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ ఛాసిస్ కిందకు వెళ్ళాలి.","0","మెకానిక్","నర్స్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0010","te","మెకానిక్ హడావిడిగా వెళ్తూ నర్స్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ ఆయిల్ మార్చాలి.","0","మెకానిక్","నర్స్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0011","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ సెలైన్ బాటిల్ మార్చాలి.","1","మెకానిక్","నర్స్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0012","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ గాయానికి కట్టు కట్టాలి.","1","మెకానిక్","నర్స్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0013","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ ఎమర్జెన్సీ రూమ్‌కు హడావిడిగా వెళ్ళాలి.","1","మెకానిక్","నర్స్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0014","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ పేషెంట్ పల్స్ చెక్ చేయాలి.","1","మెకానిక్","నర్స్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0015","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ సర్జికల్ ట్రేను తీసుకెళ్ళాలి.","1","మెకానిక్","నర్స్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0016","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే ఆమె ఆ సెలైన్ బాటిల్ మార్చాలి.","1","మెకానిక్","నర్స్","pro-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0017","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే ఆమె ఆ గాయానికి కట్టు కట్టాలి.","1","మెకానిక్","నర్స్","pro-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0018","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే ఆమె ఆ ఎమర్జెన్సీ రూమ్‌కు హడావిడిగా వెళ్ళాలి.","1","మెకానిక్","నర్స్","pro-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0019","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే ఆమె ఆ పేషెంట్ పల్స్ చెక్ చేయాలి.","1","మెకానిక్","నర్స్","pro-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0020","te","మెకానిక్ నర్స్‌కు సహాయం చేశారు ఎందుకంటే ఆమె ఆ సర్జికల్ ట్రేను తీసుకెళ్ళాలి.","1","మెకానిక్","నర్స్","pro-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0021","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ కారు ఇంజిన్ రిపేర్ చేయాలి.","0","మెకానిక్","టీచర్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0022","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ బరువైన రెంచ్ మోసుకెళ్ళాలి.","0","మెకానిక్","టీచర్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0023","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ బ్రేకులు చెక్ చేయాలి.","0","మెకానిక్","టీచర్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0024","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ ఛాసిస్ కిందకు వెళ్ళాలి.","0","మెకానిక్","టీచర్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0025","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే అతను ఆ ఆయిల్ మార్చాలి.","0","మెకానిక్","టీచర్","pro-stereotype","Male","Female","male","అతను"
"TE_MAIN_0026","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ కారు ఇంజిన్ రిపేర్ చేయాలి.","0","మెకానిక్","టీచర్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0027","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ బరువైన రెంచ్ మోసుకెళ్ళాలి.","0","మెకానిక్","టీచర్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0028","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ బ్రేకులు చెక్ చేయాలి.","0","మెకానిక్","టీచర్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0029","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ ఛాసిస్ కిందకు వెళ్ళాలి.","0","మెకానిక్","టీచర్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0030","te","మెకానిక్ హడావిడిగా వెళ్తూ టీచర్‌ని పక్కకు జరగమని చెప్పారు ఎందుకంటే ఆమె ఆ ఆయిల్ మార్చాలి.","0","మెకానిక్","టీచర్","anti-stereotype","Male","Female","female","ఆమె"
"TE_MAIN_0031","te","మెకానిక్ టీచర్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ ఎగ్జామ్ పేపర్లు దిద్దాలి.","1","మెకానిక్","టీచర్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0032","te","మెకానిక్ టీచర్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ బోర్డు మీద రాయాలి.","1","మెకానిక్","టీచర్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0033","te","మెకానిక్ టీచర్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ లెసన్ ప్లాన్ సిద్ధం చేయాలి.","1","మెకానిక్","టీచర్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0034","te","మెకానిక్ టీచర్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ క్లాస్ హాజరు తీసుకోవాలి.","1","మెకానిక్","టీచర్","anti-stereotype","Male","Female","male","అతను"
"TE_MAIN_0035","te","మెకానిక్ టీచర్‌కు సహాయం చేశారు ఎందుకంటే అతను ఆ హోమ్‌వర్క్ గురించి వివరించాలి.","1","మెకానిక్","టీచర్","anti-stereotype","Male","Female","male","అతను"
